items,class_code
"Xerox paper",10103
"C SCAN Machine",10201
"CARBON FIBER",20202
"MATERIAL",40404
"DESKTOP COMPUTER",10401
"Type 119-171 wattmeters as above but with a single current ratings of 30 Amps, scaled 0-3600 watts",522001
"Gypsy Maruti  King MP14 WD 12988 CC RHD",231002
"Steel rule 1 mtr length",522003
"Steel rule 102/1 length 1000mm cross section 40x8mm",522003
"Mahindra Vehicle model No. FJ460",231002
"Go+ Datsun A (O) BS IV Petrol",231001
"Go+ Datsun A BS IV Petrol",231001
"Go+ Datsun D BS IV Petrol",231001
"Go+ Datsun T (O) BS IV Petrol",231001
"Go+ Datsun T (O) Cvt BS IV Petrol",231001
"Go+ Datsun T (O) Vdc BS IV Petrol",231001
"Go+ Datsun T BS IV Petrol",231001
"Go+ Datsun T Cvt BS IV Petrol",231001
"Go+ Datsun T Vdc BS IV Petrol",231001
"Mercedes-Benz A-Class 180 BS IV Petrol",231002
"Mercedes-Benz A-Class 200D BS IV Diesel",231002
"Mercedes-Benz Amg Gt 4-Door Coupe 63 S 4Matic+ BS 6 Petrol",231002
"Mercedes-Benz Amg-Gt R BS IV Petrol",231002
"Mercedes-Benz Amg-Gt Roadster BS IV Petrol",231002
"Mercedes-Benz Amg-Gt S BS IV Petrol",231002
"Mercedes-Benz C-Class C 200 Prime BS 6 Petrol",231002
"Mercedes-Benz C-Class C 200 Progressive BS 6 Petrol",231002
"Mercedes-Benz C-Class C 220D Prime BS 6 Diesel",231002
"Mercedes-Benz C-Class C 220D Progressive BS 6 Diesel",231002
"Mercedes-Benz C-Class C 300D Amg Line BS 6 Diesel",231002
"Mercedes-Benz C-Class C 43 Amg BS 6 Petrol",231002
"Mercedes-Benz C-Class Cabriolet C300 BS 6 Petrol",231002
"Mercedes-Benz Cla-Class 200 D Sport BS IV Diesel",231002
"Mercedes-Benz Cls 300D BS 6 Diesel",231002
"Mercedes-Benz E-Class All Terrain E 220D BS 6 Diesel",231002
"Mercedes-Benz E-Class Cabriolet E400 BS IV Petrol",231002
"Mercedes-Benz E-Class E 63 S Amg BS IV Petrol",231002
"Mercedes-Benz E-Class E200 BS IV Petrol",231002
"Mercedes-Benz E-Class E200 Exclusive BS IV Petrol",231002
"Mercedes-Benz E-Class E200 Expression BS IV Petrol",231002
"Mercedes-Benz E-Class E220D BS IV Diesel",231002
"Mercedes-Benz E-Class E220D Exclusive BS IV Diesel",231002
"Mercedes-Benz E-Class E220D Expression BS IV Diesel",231002
"Mercedes-Benz E-Class E350 D BS IV Diesel",231002
"Mercedes-Benz Gla-Class 200 D Sport BS IV Diesel",231002
"Mercedes-Benz Gla-Class 200 D Style BS IV Diesel",231002
"Mercedes-Benz Gla-Class 200 Sport BS IV Petrol",231002
"Mercedes-Benz Gla-Class 220 D 4Matic BS IV Diesel",231002
"Mercedes-Benz Gla-Class 45 Aero Edition BS IV Petrol",231002
"Mercedes-Benz Gla-Class 45 Amg 4Matic BS IV Petrol",231002
"Mercedes-Benz Glc 200 Progressive BS 6 Petrol",231002
"Mercedes-Benz Glc 220D 4Matic Progressive BS 6 Diesel",231002
"Mercedes-Benz Gle 300D 4Matic BS 6 Diesel",231002
"Mercedes-Benz Gle 400D 4Matic Hip Hop Edition BS 6 Diesel",231002
"Mercedes-Benz S-Class Amg S 63 Coupe BS IV Petrol",231002
"Mercedes-Benz S-Class S 350 D BS IV Diesel",231002
"Mercedes-Benz S-Class S 450 BS IV Petrol",231002
"Mercedes-Benz V-Class Elite BS 6 Diesel",231002
"Mercedes-Benz V-Class Exclusive Lwb BS 6 Diesel",231002
"Mercedes-Benz V-Class Expression Elwb BS 6 Diesel",231002
"Rolls-Royce Cullinan Suv BS 6 Petrol",231002
"Rolls-Royce Dawn Convertible BS IV Petrol",231002
"Rolls-Royce Drophead Coupe Phantom BS IV Petrol",231002
"Rolls-Royce Ghost Series Ii 6.6 BS IV Petrol",231002
"Rolls-Royce Ghost Series Ii Ewb BS IV Petrol",231002
"Rolls-Royce Phantom Coupe 6.8 L BS IV Petrol",231002
"Rolls-Royce Phantom Ewb BS IV Petrol",231002
"Rolls-Royce Phantom Sedan BS IV Petrol",231002
"Rolls-Royce Wraith Coupe BS IV Petrol",231002
"Aston Martin Db 11 V12  Petrol",231002
"Aston Martin Rapide Luxe BS IV Petrol",231002
"Aston Martin Vantage Coupe BS IV Petrol",231002
"Audi A3 35 Tdi Premium Plus BS IV Diesel",231002
"Audi A3 35 Tdi Technology BS IV Diesel",231002
"Audi A3 35 Tfsi Premium Plus BS IV Petrol",231002
"Audi A3 35 Tfsi Technology BS IV Petrol",231002
"Audi A3 Cabriolet 40 Tfsi BS IV Petrol",231002
"Audi A4 Premium Plus 35 Tfsi BS IV Petrol",231002
"Audi A4 Technology 35 Tfsi BS IV Petrol",231002
"Audi A5 Cabriolet 2.0 Tdi BS IV Diesel",231002
"Audi A5 Sportback BS IV Diesel",231002
"Audi A6 Premium Plus 45 Tfsi BS 6 Petrol",231002
"Audi A6 Technology 45 Tfsi BS 6 Petrol",231002
"Audi A8 L 55 Tfsi Quattro BS 6 Petrol",231002
"Audi Q3 30 Tdi Premium Fwd BS IV Diesel",231002
"Audi Q3 30 Tfsi Premium BS IV Petrol",231002
"Audi Q3 35 Tdi Quattro Premium Plus BS IV Diesel",231002
"Audi Q3 35 Tdi Quattro Technology BS IV Diesel",231002
"Audi Q5 35 Tdi Premium Plus BS IV Diesel",231002
"Audi Q5 35 Tdi Technology BS IV Diesel",231002
"Audi Q5 45 Tfsi Premium Plus BS IV Petrol",231002
"Audi Q5 45 Tfsi Technology BS IV Petrol",231002
"Audi Q7 40 Tfsi Quattro Black Styling BS IV Petrol",231002
"Audi Q7 40 Tfsi Quattro Premium Plus BS IV Petrol",231002
"Audi Q7 40 Tfsi Quattro Technology Pack BS IV Petrol",231002
"Audi Q7 45 Tdi Black Styling BS IV Diesel",231002
"Audi Q7 45 Tdi Premium Plus BS IV Diesel",231002
"Audi Q7 45 Tdi Technology Pack BS IV Diesel",231002
"Audi Q8 55 Tfsi Quattro Tiptronic BS 6 Petrol",231002
"Audi R8 V10 Plus BS IV Petrol",231002
"Audi Rs5 Coupe BS IV Petrol",231002
"Audi Rs7 Sportback BS IV Petrol",231002
"Audi S5 Sportback BS IV Petrol",231002
"Bajaj Qute (Re60) Qcar BS IV Petrol",231002
"Bajaj Qute (Re60) Qcar Cng BS IV CNG",231002
"Bentley Bentayga V8 BS IV Petrol",231002
"Bentley Bentayga W12 BS IV Petrol",231002
"Bentley Continental Gt Coupe BS IV Petrol",231002
"Bentley Flying Spur V8 BS IV Petrol",231002
"Bentley Flying Spur W12 BS IV Petrol",231002
"Bentley Mulsanne Sedan BS IV Petrol",231002
"Bmw 3-Series 320D Luxury Line BS 6 Diesel",231002
"Bmw 3-Series 320D Sport BS 6 Diesel",231002
"Bmw 3-Series 330I M Sport BS 6 Petrol",231002
"Bmw 5-Series 520D Luxury Line BS IV Diesel",231002
"Bmw 5-Series 530D M Sport BS IV Diesel",231002
"Bmw 5-Series 530I M Sport BS IV Petrol",231002
"Bmw 6-Series 620D Gt Luxury Line BS IV Diesel",231002
"Bmw 6-Series 630D Gt Luxury Line BS IV Diesel",231002
"Bmw 6-Series 630D Gt M Sport BS IV Diesel",231002
"Bmw 6-Series 630I Gt Luxury Line BS IV Petrol",231002
"Bmw 7-Series 730Ld Design Pure Excellence BS 6 Diesel",231002
"Bmw 7-Series 730Ld Design Pure Excellence Signature BS 6 Diesel",231002
"Bmw 7-Series 730Ld M Sport BS 6 Diesel",231002
"Bmw 7-Series 740Li Design Pure Excellence Signature BS 6 Petrol",231002
"Bmw 7-Series 745Le Xdrive BS 6 Hybrid",231002
"Bmw 7-Series M760Li Xdrive BS 6 Petrol",231002
"Bmw M2 Competition Coupe BS 6 Petrol",231002
"Bmw M4 Coupe BS IV Petrol",231002
"Bmw M5 Competition BS 6 Petrol",231002
"Bmw X1 Sdrive20D Expedition BS IV Diesel",231002
"Bmw X1 Sdrive20D M Sport BS IV Diesel",231002
"Bmw X1 Sdrive20D Xline BS IV Diesel",231002
"Bmw X1 Sdrive20I Xline BS 6 Petrol",231002
"Bmw X1 Xdrive20D M Sport BS IV Diesel",231002
"Bmw X3 Xdrive 20D Luxury Line BS IV Diesel",231002
"Bmw X3 Xdrive 30I Luxury Line BS IV Petrol",231002
"Bmw X3 Xdrive20D Xline BS IV Diesel",231002
"Bmw X4 Xdrive20D M Sport X BS 6 Diesel",231002
"Bmw X4 Xdrive30D M Sport X BS 6 Diesel",231002
"Bmw X4 Xdrive30I M Sport X BS 6 Petrol",231002
"Bmw X5 Xdrive30D Sport BS IV Diesel",231002
"Bmw X5 Xdrive30D Xline BS IV Diesel",231002
"Nirbhay: long-range subsonic cruise missile. (under development)",100000
"Prahaar: tactical short-range ballistic missile.",100000
"Pragati: Higher range variant of Prahaar",100000
"Pralay: short-range ballistic missile",100000
"Pinaka: guided rockets (Pinaka Mk1 unguided & MK2 guided rockets, Pinaka MkIII in development)",100000
"Barak 8: long-range surface-to-air missile.",100000
"Maitri (missile) DRDO quick-reaction surface-to-air missile.",100000
"QRSAM DRDO, BEL and BDL's quick reaction surface-to-air missile.",100000
"Pradyumna ballistic missile interceptor: ballistic missile interceptor, surface-to-air missile.",100000
"Ashwin Ballistic Missile Interceptor: ballistic missile interceptor and antiaircraft missile.",100000
"Trishul (missile): surface-to-air missile.",100000
"Prithvi Air Defence: exoatmospheric antiballistic missile.",100000
"Advanced Air Defence: endoatmospheric antiballistic missile.",100000
"Prithvi Defence Vehicle: antiballistic missile.",100000
"PDV MkI",100000
"PDV MkII (ASAT & ICBM interceptor)",100000
"AD-1 & AD-2 (Program AD ballistic missile defence system) - exoatmospheric antiballistic missile and potential hypersonic glide vehicle interceptor.[6][7] (under development)",100000
"XR-SAM: Long-range surface to air missile[8]",100000
"Pranash : Short-range tactical ballistic missile[9]",100000
"Bmw X5 Xdrive40I M Sport BS IV Petrol",231002
"Bmw X7 Xdrive 40I BS 6 Petrol",231002
"Bmw X7 Xdrive30D Dpe Signature BS 6 Diesel",231002
"Bmw Z4 Roadster M 40I BS 6 Petrol",231002
"Bmw Z4 Roadster Sdrive 20I BS 6 Petrol",231002
"Bugatti Chiron Sport BS 6 Petrol",231002
"Bugatti Chiron W16 BS 6 Petrol",231002
"Datsun Go A (O) BS IV Petrol",231002
"Datsun Go A BS IV Petrol",231002
"Datsun Go D BS IV Petrol",231002
"Datsun Go T (O) BS IV Petrol",231002
"Datsun Go T (O) Cvt BS IV Petrol",231002
"Datsun Go T (O) Vdc BS IV Petrol",231002
"Datsun Go T BS IV Petrol",231002
"Datsun Go T Cvt BS IV Petrol",231002
"Datsun Go T Vdc BS IV Petrol",231002
"Datsun Redi-Go 1.0 S Amt BS IV Petrol",231002
"Datsun Redi-Go 1.0 S BS IV Petrol",231002
"Datsun Redi-Go A BS IV Petrol",231002
"Datsun Redi-Go D BS IV Petrol",231002
"Datsun Redi-Go S BS IV Petrol",231002
"Datsun Redi-Go T BS IV Petrol",231002
"Dc Avanti Standard BS IV Petrol",231002
"Ferrari 458 Speciale Coupe BS IV Petrol",231002
"Ferrari 458 Spider V8 BS IV Petrol",231002
"Ferrari 488 Gtb Spider BS IV Petrol",231002
"Ferrari 488 Gtb Std BS IV Petrol",231002
"Ferrari 812 Superfast Superfast BS IV Petrol",231002
"Ferrari Gtc4 Lusso V12 BS IV Petrol",231002
"Ferrari Gtc4 Lusso V8 T BS IV Petrol",231002
"Ferrari Portofino V8 Convertible BS IV Petrol",231002
"Fiat Abarth Avventura 1.4 T-Jet BS IV Petrol",231001
"Fiat Abarth Punto 1.4 T-Jet BS IV Petrol",231001
"Fiat Avventura Multijet Active BS IV Diesel",231001
"Fiat Avventura Multijet Dynamic BS IV Diesel",231001
"Fiat Avventura Multijet Emotion BS IV Diesel",231001
"Fiat Linea Active Fire BS IV Petrol",231001
"Fiat Linea Active Multijet BS IV Diesel",231001
"Fiat Linea Classic 1.3 Multijet BS IV Diesel",231001
"Fiat Linea Classic 1.4 BS IV Petrol",231001
"Fiat Linea Classic Plus 1.3 Multijet BS IV Diesel",231001
"Fiat Linea Dynamic Multijet BS IV Diesel",231001
"Fiat Linea Emotion Multijet BS IV Diesel",231001
"Fiat Linea T-Jet Emotion BS IV Petrol",231001
"Fiat Punto Evo Active Multijet 1.3 BS IV Diesel",231001
"Fiat Punto Evo Dynamic 1.2 BS IV Petrol",231001
"Fiat Punto Evo Dynamic Multijet 1.3 BS IV Diesel",231001
"Fiat Punto Evo Emotion Multijet 1.3 BS IV Diesel",231001
"Fiat Punto Evo Pure 1.2L Fire Dynamic BS IV Petrol",231001
"Fiat Punto Evo Pure 1.3 BS IV Diesel",231001
"Fiat Urban Cross 1.3 Multijet Active BS IV Diesel",231001
"Fiat Urban Cross 1.3 Multijet Dynamic BS IV Diesel",231001
"Fiat Urban Cross 1.3 Multijet Emotion BS IV Diesel",231001
"Fiat Urban Cross 1.4 T-Jet Emotion BS IV Petrol",231001
"Force Gurkha Xpedition 3 Door BS IV Diesel",231002
"Force Gurkha Xpedition 5 Door BS IV Diesel",231002
"Force Gurkha Xplorer 3 Door BS IV Diesel",231002
"Force Gurkha Xplorer 5 Door BS IV Diesel",231002
"Force Gurkha Xtreme Abs BS IV Diesel",231002
"Force Gurkha Xtreme BS IV Diesel",231002
"Ford Aspire 1.2 Ti-Vct Ambiente BS IV Petrol",231001
"Ford Aspire 1.2 Ti-Vct Blu BS IV Petrol",231001
"Ford Aspire 1.2 Ti-Vct Titanium BS IV Petrol",231001
"Ford Aspire 1.2 Ti-Vct Titanium Plus BS IV Petrol",231001
"Ford Aspire 1.2 Ti-Vct Trend BS IV Petrol",231001
"Ford Aspire 1.2 Ti-Vct Trend Plus BS IV Petrol",231001
"Ford Aspire 1.2 Trend Plus Cng BS IV CNG",231001
"Ford Aspire 1.5 Tdci Ambiente BS IV Diesel",231001
"Ford Aspire 1.5 Tdci Blu BS IV Diesel",231001
"Ford Aspire 1.5 Tdci Titanium BS IV Diesel",231001
"Ford Aspire 1.5 Tdci Titanium Plus BS IV Diesel",231001
"Ford Aspire 1.5 Tdci Trend BS IV Diesel",231001
"Ford Aspire 1.5 Tdci Trend Plus BS IV Diesel",231001
"Ford Ecosport 1.5L Tdci Ambiente BS 6 Diesel",231002
"Ford Ecosport 1.5L Tdci Thunder Edition BS 6 Diesel",231002
"Ford Ecosport 1.5L Tdci Titanium BS 6 Diesel",231002
"Ford Ecosport 1.5L Tdci Titanium Plus BS 6 Diesel",231002
"Ford Ecosport 1.5L Tdci Titanium S BS 6 Diesel",231002
"Ford Ecosport 1.5L Tdci Trend BS 6 Diesel",231002
"Ford Ecosport 1.5L Ti-Vct Ambiente BS 6 Petrol",231002
"Ford Ecosport 1.5L Ti-Vct Thunder Edition BS 6 Petrol",231002
"Ford Ecosport 1.5L Ti-Vct Titanium BS 6 Petrol",231002
"Ford Ecosport 1.5L Ti-Vct Titanium Plus At BS 6 Petrol",231002
"Ford Ecosport 1.5L Ti-Vct Titanium Plus BS 6 Petrol",231002
"Ford Ecosport 1.5L Ti-Vct Trend BS 6 Petrol",231002
"Ford Endeavour 2.2L 4X2 At Titanium Plus BS IV Diesel",231002
"Ford Endeavour 2.2L 4X2 Mt Titanium BS IV Diesel",231002
"Ford Endeavour 3.2L 4X4 At Titanium Plus BS IV Diesel",231002
"Ford Figo Ambiente 1.2 Ti-Vct BS IV Petrol",231001
"Ford Figo Ambiente 1.5 Tdci BS IV Diesel",231001
"Ford Figo Titanium 1.2 Ti-Vct BS IV Petrol",231001
"Ford Figo Titanium Blu 1.2 Ti-Vct BS IV Petrol",231001
"Ford Figo Titanium Blu 1.5 Tdci BS IV Diesel",231001
"Ford Figo Titanium1.5 Tdci BS IV Diesel",231001
"Ford Freestyle 1.2L Ti-Vct Ambiente BS IV Petrol",231001
"Ford Freestyle 1.2L Ti-Vct Titanium BS IV Petrol",231001
"Ford Freestyle 1.2L Ti-Vct Titanium Plus BS IV Petrol",231001
"Ford Freestyle 1.2L Ti-Vct Trend Plus BS IV Petrol",231001
"Ford Freestyle 1.5L Tdci Ambiente BS IV Diesel",231001
"Ford Freestyle 1.5L Tdci Titanium BS IV Diesel",231001
"Ford Freestyle 1.5L Tdci Titanium Plus BS IV Diesel",231001
"Ford Freestyle 1.5L Tdci Trend Plus BS IV Diesel",231001
"Ford Mustang Fastback V8 BS IV Petrol",231002
"Honda Accord Hybrid 2.0 At BS IV Hybrid",231002
"Honda Amaze Ace Edition Cvt Diesel BS 6 Diesel",231001
"Honda Amaze Ace Edition Cvt Petrol BS 6 Petrol",231001
"Honda Amaze Ace Edition Mt Diesel BS 6 Diesel",231001
"Honda Amaze Ace Edition Mt Petrol BS 6 Petrol",231001
"Honda Amaze E Mt Diesel BS 6 Diesel",231001
"Honda Amaze E Mt Petrol BS 6 Petrol",231001
"Honda Amaze Exclusive Edition Diesel BS 6 Diesel",231001
"Honda Amaze Exclusive Edition Petrol BS 6 Petrol",231001
"Honda Amaze S Cvt Diesel BS 6 Diesel",231001
"Honda Amaze S Cvt Petrol BS 6 Petrol",231001
"Honda Amaze S Mt Diesel BS 6 Diesel",231001
"Honda Amaze S Mt Petrol BS 6 Petrol",231001
"Honda Amaze V Cvt Diesel BS 6 Diesel",231001
"Honda Amaze V Cvt Petrol BS 6 Petrol",231001
"Honda Amaze V Mt Diesel BS 6 Diesel",231001
"Honda Amaze V Mt Petrol BS 6 Petrol",231001
"Honda Amaze Vx Cvt Diesel BS 6 Diesel",231001
"Honda Amaze Vx Cvt Petrol BS 6 Petrol",231001
"Honda Amaze Vx Mt Diesel BS 6 Diesel",231001
"Honda Amaze Vx Mt Petrol BS 6 Petrol",231001
"Honda Brv E Petrol BS IV Petrol",231002
"Honda Brv S Diesel BS IV Diesel",231002
"Honda Brv S Petrol BS IV Petrol",231002
"Honda Brv V Cvt Petrol BS IV Petrol",231002
"Honda Brv V Diesel BS IV Diesel",231002
"Honda Brv V Petrol BS IV Petrol",231002
"Honda Brv Vx Diesel BS IV Diesel",231002
"Honda Brv Vx Petrol BS IV Petrol",231002
"Honda City Sv Mt Diesel BS IV Diesel",231001
"Honda City Sv Mt Petrol BS 6 Petrol",231001
"Honda City V Cvt Petrol BS 6 Petrol",231001
"Honda City V Mt Diesel BS IV Diesel",231001
"Honda City V Mt Petrol BS 6 Petrol",231001
"Honda City Vx Cvt Petrol BS 6 Petrol",231001
"Honda City Vx Mt Diesel BS IV Diesel",231001
"Honda City Vx Mt Petrol BS 6 Petrol",231001
"Honda City Zx Cvt Petrol BS 6 Petrol",231001
"Honda City Zx Mt Diesel BS IV Diesel",231001
"Honda Civic 1.6 Vx Mt BS 6 Diesel",231002
"Honda Civic 1.6 Zx Mt BS 6 Diesel",231002
"Honda Civic 1.8 V Cvt BS 6 Petrol",231002
"Honda Civic 1.8 Vx Cvt BS 6 Petrol",231002
"Honda Civic 1.8 Zx Cvt BS 6 Petrol",231002
"Honda Cr-V 2Wd Diesel At BS IV Diesel",231002
"Honda Cr-V 2Wd Petrol Cvt  Petrol",231002
"Honda Cr-V Awd Diesel At BS IV Diesel",231002
"Honda Jazz Exclusive Edition Cvt BS IV Petrol",231001
"Honda Jazz S Diesel BS IV Diesel",231001
"Honda Jazz V Cvt BS IV Petrol",231001
"Honda Jazz V Diesel BS IV Diesel",231001
"Honda Jazz V Petrol BS IV Petrol",231001
"Honda Jazz Vx Cvt BS IV Petrol",231001
"Honda Jazz Vx Diesel BS IV Diesel",231001
"Honda Jazz Vx Petrol BS IV Petrol",231001
"Honda Wr-V Edge Plus Edition Diesel BS IV Diesel",231002
"Honda Wr-V Edge Plus Edition Petrol BS IV Petrol",231002
"Honda Wr-V Exclusive Edition Diesel BS IV Diesel",231002
"Honda Wr-V Exclusive Edition Petrol BS IV Petrol",231002
"Honda Wr-V S Diesel BS IV Diesel",231002
"Honda Wr-V S Petrol BS IV Petrol",231002
"Honda Wr-V V Diesel BS IV Diesel",231002
"Honda Wr-V Vx Diesel BS IV Diesel",231002
"Honda Wr-V Vx Petrol BS IV Petrol",231002
"Hyundai Aura E 1.2 Petrol BS 6 Petrol",231001
"Hyundai Aura S 1.2 Amt Diesel BS 6 Diesel",231001
"Hyundai Aura S 1.2 Amt Petrol BS 6 Petrol",231001
"Hyundai Aura S 1.2 Cng Petrol (Cng + BS 6 CNG + Petrol",231001
"Hyundai Aura S 1.2 Diesel BS 6 Diesel",231001
"Hyundai Aura S 1.2 Petrol BS 6 Petrol",231001
"Hyundai Aura Sx (O) 1.2 Diesel BS 6 Diesel",231001
"Hyundai Aura Sx (O) 1.2 Petrol BS 6 Petrol",231001
"Hyundai Aura Sx 1.2 Petrol BS 6 Petrol",231001
"Hyundai Aura Sx Plus 1.0 Petrol BS 6 Petrol",231001
"Hyundai Aura Sx Plus 1.2 Amt Diesel BS 6 Diesel",231001
"Hyundai Aura Sx Plus 1.2 Amt Petrol BS 6 Petrol",231001
"Hyundai Creta 1.4 Crdi E Plus BS IV Diesel",231002
"Hyundai Creta 1.4 Crdi Ex BS IV Diesel",231002
"Hyundai Creta 1.4 Crdi S BS IV Diesel",231002
"Hyundai Creta 1.6 Crdi S At BS IV Diesel",231002
"Hyundai Creta 1.6 Crdi Sx (O) BS IV Diesel",231002
"Hyundai Creta 1.6 Crdi Sx (O) Executive BS IV Diesel",231002
"Hyundai Creta 1.6 Crdi Sx At BS IV Diesel",231002
"Hyundai Creta 1.6 Crdi Sx BS IV Diesel",231002
"Hyundai Creta 1.6 Crdi Sx Dual Tone BS IV Diesel",231002
"Hyundai Creta 1.6 Vtvt E Plus BS IV Petrol",231002
"Hyundai Creta 1.6 Vtvt Ex BS IV Petrol",231002
